"eventid","refid","eventid2","eventtype","place","mindate","maxdate","burnareaha","metconditions"
3,1,35,"bushfire","Albury",2003-01-11,2003-02-20,,
2,1,34,"dust","Albury",2003-03-19,2003-03-20,,
9,2,41,"woodsmoke","PERTH",1997-07-18,,,"Winter haze from wood heaters"
366,189,,"bushfire","Illawarra",1994-01-04,1994-01-14,,
367,189,,"bushfire","Sydney East",1994-01-04,1994-01-14,,
368,189,,"bushfire","Sydney West",1994-01-04,1994-01-14,,
369,189,,"bushfire","Newcastle",1994-01-04,1994-01-14,,
435,230,,"bushfire","Sydney East",2000-10-05,2000-10-08,"450",
436,230,,"bushfire","Newcastle",2000-10-05,2000-10-08,"450",
1146,676,,"bushfire","Albury",2003-01-21,,,
1222,742,,"bushfire","ALBANY",2007-02-12,2007-02-13,"5000",
475,248,,"bushfire","PERTH",2004-01-12,,,
479,252,,"possible biomass","PERTH",2006-03-28,,,
1227,747,,"bushfire","Wagga Wagga",2006-12-07,,,
1223,743,,"possible biomass","Tamworth",2009-03-05,,,
1224,744,,"prescribed burn","BUNBURY",2001-10-31,2001-11-01,,
1225,745,,"possible biomass","Tamworth",2005-04-02,2005-04-03,,
1233,752,,"dust","Sydney West",2003-03-20,,,
370,190,,"bushfire","launceston",2006-06-16,,,
371,191,,"bushfire","hobart",2007-01-11,,,
545,326,,"bushfire","PERTH",2005-01-06,,,
437,231,,"bushfire","Sydney East",2001-11-05,2001-11-06,,
390,209,,"bushfire","Sydney East",1997-11-29,1997-12-01,,
391,209,,"bushfire","Sydney West",1997-11-29,1997-12-01,,
392,209,,"bushfire","Newcastle",1997-11-29,1997-12-01,,
393,209,,"bushfire","Illawarra",1997-11-29,1997-12-01,,
438,231,,"bushfire","Newcastle",2001-11-05,2001-11-06,,
233,5,,"bushfire","Sydney West",1997-12-17,1997-12-19,,
232,5,,"bushfire","Sydney East",1997-12-17,1997-12-19,,
394,210,,"bushfire","Sydney East",1997-12-01,1997-12-05,,
395,210,,"bushfire","Sydney West",1997-12-01,1997-12-05,,
396,210,,"bushfire","Newcastle",1997-12-01,1997-12-05,,
452,240,,"bushfire","Sydney West",2003-01-22,,,
453,240,,"bushfire","Newcastle",2003-01-22,,,
454,240,,"bushfire","Illawarra",2003-01-22,,,
480,253,,"possible biomass","PERTH",2005-11-20,,,
398,211,,"bushfire","Sydney East",1997-11-29,1997-12-08,,
403,211,,"bushfire","Newcastle",1997-11-29,1997-12-08,,
404,212,,"bushfire","Sydney East",1997-12-11,,"1,200,000",
405,212,,"bushfire","Sydney West",1997-12-11,,"1,200,000",
444,237,,"bushfire","PERTH",2003-01-08,,,"hotspot far from perth, but with wind could have past over perth differen ttime of day"
424,223,,"bushfire","Sydney East",2000-02-09,,"7",
426,226,,"bushfire","Sydney East",2000-09-19,2000-09-20,,
427,226,,"bushfire","Illawarra",2000-09-19,2000-09-20,,
333,35,,"bushfire","Newcastle",1994-01-05,1994-01-17,"600000",
63,35,,"bushfire","Illawarra",1994-01-05,1994-01-17,"600000",
332,35,,"bushfire","Sydney West",1994-01-05,1994-01-17,"600000",
331,35,,"bushfire","Sydney East",1994-01-05,1994-01-17,"600000",
64,36,,"bushfire","Sydney West",1994-01-09,,,
65,37,,"bushfire","Sydney West",1994-01-07,,"1000000",
66,38,,"bushfire","Sydney West",1994-01-06,,,
67,39,,"bushfire","Newcastle",2001-11-02,,,
68,40,,"bushfire","Sydney West",1995-01-08,,,
79,41,,"bushfire","Sydney West",2001-12-25,2001-12-26,,
69,41,,"bushfire","Illawarra",2001-12-25,2001-12-26,,
70,42,,"bushfire","Sydney East",1997-12-08,,,
334,43,,"bushfire","Newcastle",2001-12-28,2001-12-30,,
71,43,,"bushfire","Illawarra",2001-12-28,2001-12-30,,
73,43,,"bushfire","Sydney West",2001-12-28,2001-12-30,,
77,44,,"bushfire","Sydney West",2001-12-31,,,
76,44,,"bushfire","Sydney East",2001-12-31,,,
75,44,,"bushfire","Newcastle",2001-12-31,,,
74,44,,"bushfire","Illawarra",2001-12-31,,,
78,45,,"bushfire","Sydney East",1997-12-17,,,
429,227,,"bushfire","Sydney East",2000-09-21,,,
430,227,,"bushfire","Sydney West",2000-09-21,,,
335,46,,"bushfire","Sydney West",1997-12-01,1997-12-08,"100000",
80,47,,"bushfire","Sydney West",1997-12-03,,,
81,48,,"bushfire","Sydney East",1997-12-04,,,
82,49,,"bushfire","Sydney East",2002-01-01,,,
83,49,,"bushfire","Sydney West",2002-01-01,,,
84,50,,"bushfire","Sydney East",1997-12-14,1997-12-19,,
85,50,,"bushfire","Sydney West",1997-12-14,1997-12-19,,
86,51,,"bushfire","Illawarra",1998-01-02,,,
88,52,,"bushfire","Sydney West",2002-01-02,2002-01-04,,"two images for these areas"
87,52,,"bushfire","Newcastle",2002-01-02,2002-01-04,,
431,228,,"bushfire","Sydney East",2000-09-19,2000-09-21,"300",
432,228,,"bushfire","Illawarra",2000-09-19,2000-09-21,"300",
434,229,,"bushfire","Sydney East",2000-10-05,2000-10-06,,
455,241,,"bushfire","Sydney East",2003-01-20,,,
457,241,,"bushfire","Sydney West",2003-01-20,,,
458,241,,"bushfire","Newcastle",2003-01-20,,,
459,242,,"bushfire","Sydney East",2003-01-24,,,"smoke from victoria fires"
460,242,,"bushfire","Sydney West",2003-01-24,,,"smoke from victoria fires"
461,242,,"bushfire","Illawarra",2003-01-24,,,"smoke from victoria fires"
485,259,,"bushfire","PERTH",2007-02-06,,,
501,281,,"bushfire","Sydney East",2002-07-11,,,
502,284,,"bushfire","Sydney East",2002-11-15,,"300000",
462,243,,"bushfire","Sydney East",2003-01-24,2003-01-25,,
463,243,,"bushfire","Sydney West",2003-01-25,,,
464,243,,"bushfire","Illawarra",2003-01-25,,,
520,305,,"bushfire","Sydney West",2002-10-18,,,
519,305,,"bushfire","Sydney East",2002-10-18,,,
524,307,,"possible biomass","Sydney East",2002-10-29,,,
526,309,,"bushfire","Newcastle",2002-11-05,,,
528,313,,"bushfire","Newcastle",2002-11-19,,,
529,314,,"bushfire","Newcastle",2002-11-20,,,
531,314,,"possible biomass","Illawarra",2002-11-20,,,
532,315,,"bushfire","PERTH",2002-01-12,2002-01-14,,
687,423,,"bushfire","Sydney East",2003-01-08,2003-01-11,,
688,423,,"bushfire","Sydney West",2003-01-08,2003-01-11,,
686,423,,"bushfire","Illawarra",2003-01-08,2003-01-11,,
89,53,,"bushfire","Illawarra",2000-02-11,,,
338,53,,"bushfire","Sydney West",2000-02-11,,,
91,54,,"bushfire","Sydney East",2002-01-05,2002-01-06,,
92,54,,"bushfire","Sydney West",2002-01-05,2002-01-06,,
93,54,,"bushfire","Newcastle",2002-01-05,2002-01-06,,
90,54,,"bushfire","Illawarra",2002-01-05,,,
94,55,,"bushfire","Sydney West",2001-12-26,,,
95,55,,"bushfire","Sydney East",2001-12-26,,,
1149,677,,"bushfire","Bathurst",2003-01-20,,,
97,57,,"bushfire","Illawarra",2001-12-27,,,
98,57,,"bushfire","Newcastle",2001-12-27,,,
99,57,,"bushfire","Sydney East",2001-12-27,,,
100,57,,"bushfire","Sydney West",2001-12-27,,,
406,214,,"possible biomass","Sydney East",2005-12-07,,,
407,214,,"possible biomass","Newcastle",2005-12-07,,,
103,59,,"bushfire","Sydney West",2002-10-19,,,
104,60,,"bushfire","Newcastle",2002-10-20,,,
105,60,,"bushfire","Sydney West",2002-10-20,,,
106,61,,"bushfire","Newcastle",2002-10-23,,,
107,61,,"bushfire","Sydney East",2002-10-23,,,
108,61,,"bushfire","Sydney West",2002-10-23,,,
109,62,,"bushfire","Sydney East",2000-10-05,,,
110,63,,"bushfire","Newcastle",2002-10-24,,,
111,63,,"bushfire","Sydney West",2002-10-24,,,
112,64,,"bushfire","Sydney East",2002-10-25,,,
113,64,,"bushfire","Sydney West",2002-10-25,,,
114,65,,"bushfire","Newcastle",2002-10-30,,,
115,66,,"bushfire","Newcastle",2002-10-31,,,
116,67,,"bushfire","Newcastle",2002-11-03,,,
118,68,,"bushfire","Illawarra",2001-10-29,2001-10-31,"12000",
119,68,,"bushfire","Newcastle",2001-10-29,2001-10-31,"12000",
120,68,,"bushfire","Sydney East",2001-10-29,2001-10-31,"12000",
121,68,,"bushfire","Sydney West",2001-10-29,2001-10-31,"12000",
122,69,,"bushfire","Newcastle",2002-11-04,,,
123,70,,"bushfire","Sydney East",2001-10-29,,,
124,70,,"bushfire","Sydney West",2001-10-29,,,
125,70,,"bushfire","Newcastle",2001-10-29,,,
126,70,,"bushfire","Illawarra",2001-10-29,,,
356,179,,"bushfire","PERTH",2005-01-16,2005-01-22,"27000",
409,215,,"non-biomass, non-fire","Sydney West",2005-06-06,2005-06-08,,
128,72,,"bushfire","Newcastle",2002-11-10,,,
129,73,,"bushfire","Newcastle",2001-11-01,,,
131,74,,"bushfire","Sydney West",2001-12-25,2001-12-31,,
130,74,,"bushfire","Sydney East",2001-12-25,2001-12-31,,
132,75,,"bushfire","Sydney East",2001-12-21,2001-12-31,,
133,75,,"bushfire","Sydney West",2001-12-21,2001-12-31,,
134,76,,"bushfire","Illawarra",2002-11-14,,,
137,78,,"bushfire","Sydney East",2001-12-21,2002-01-05,,
138,78,,"bushfire","Sydney West",2001-12-21,2002-01-05,,
140,79,,"bushfire","Sydney West",2001-12-21,2002-01-04,,
139,79,,"bushfire","Sydney East",2001-12-21,2002-01-04,,
141,80,,"bushfire","Sydney East",2001-12-21,2002-01-10,,
142,80,,"bushfire","Sydney West",2001-12-21,2002-01-10,,
143,81,,"bushfire","Sydney East",2001-12-25,2002-01-10,"300000",
144,81,,"bushfire","Sydney West",2001-12-25,2002-01-10,"300000",
145,82,,"bushfire","Illawarra",2002-12-04,,,
146,82,,"bushfire","Newcastle",2002-12-04,,,
147,83,,"bushfire","Sydney East",2001-12-25,2002-01-16,"500000",
148,83,,"bushfire","Sydney West",2001-12-25,2002-01-16,"500000",
149,83,,"bushfire","Newcastle",2001-12-25,2002-01-16,"500000",
150,83,,"bushfire","Illawarra",2001-12-25,2002-01-16,"500000",
152,84,,"bushfire","Sydney West",2002-12-05,,,
153,84,,"bushfire","Newcastle",2002-12-05,,,
151,84,,"bushfire","Sydney East",2002-12-05,,,
156,85,,"bushfire","Sydney West",2002-12-06,2002-12-07,,
155,85,,"bushfire","Sydney East",2002-12-06,,,
154,85,,"bushfire","Newcastle",2002-12-06,,,
157,86,,"bushfire","Newcastle",2002-10-08,,,
159,86,,"bushfire","Sydney West",2002-10-08,,,
158,86,,"bushfire","Sydney East",2002-10-08,,,
161,87,,"bushfire","Sydney East",2002-10-25,,,
162,87,,"bushfire","Sydney West",2002-10-25,,,
163,88,,"bushfire","Newcastle",2002-12-07,2002-12-08,,
166,88,,"bushfire","Sydney West",2002-12-07,2002-12-08,,
164,88,,"bushfire","Illawarra",2002-12-07,2002-12-08,,
167,89,,"bushfire","Sydney East",2002-12-09,,,
168,89,,"bushfire","Sydney West",2002-12-09,,,
169,89,,"bushfire","Newcastle",2002-12-09,,,
172,90,,"bushfire","Sydney West",2002-01-18,,,
171,90,,"bushfire","Sydney East",2002-01-18,,,
170,90,,"bushfire","Illawarra",2002-01-18,,,
173,91,,"bushfire","Illawarra",2003-01-21,,,
341,91,,"bushfire","Sydney East",2003-01-21,,,
174,91,,"bushfire","Sydney West",2003-01-21,,,
175,92,,"bushfire","Illawarra",2002-11-09,,,
176,93,,"bushfire","Illawarra",2003-01-26,,,
177,93,,"bushfire","Sydney East",2003-01-26,,,
178,93,,"bushfire","Sydney West",2003-01-26,,,
342,94,,"bushfire","Sydney East",2003-01-30,,,
179,94,,"bushfire","Sydney West",2003-01-30,,,
180,95,,"bushfire","Sydney East",2002-11-03,2002-11-11,,
181,95,,"bushfire","Sydney West",2002-11-03,2002-11-11,,
183,96,,"bushfire","Sydney West",2002-11-04,2002-11-27,,
184,96,,"bushfire","Illawarra",2002-11-04,2002-11-27,,
185,96,,"bushfire","Newcastle",2002-11-04,2002-11-27,,
182,96,,"bushfire","Sydney East",2002-11-04,2002-11-27,,
186,97,,"bushfire","Sydney East",2002-11-03,,,
187,97,,"bushfire","Sydney West",2002-11-03,,,
190,98,,"bushfire","Newcastle",2003-01-31,,,
189,98,,"bushfire","Sydney West",2003-01-31,,,
188,98,,"bushfire","Sydney East",2003-01-31,,,
439,232,,"possible biomass","PERTH",2002-02-02,,,
440,233,,"possible biomass","PERTH",2002-11-15,,,
441,234,,"bushfire","PERTH",2002-12-10,,,
465,244,,"bushfire","Sydney East",1997-12-29,1998-01-02,,
467,244,,"bushfire","Sydney West",1997-12-29,1998-01-02,,
469,244,,"bushfire","PERTH",1997-12-29,1998-01-02,,
476,249,,"possible biomass","PERTH",2004-04-08,,,
195,100,,"possible biomass","Newcastle",2003-09-23,,,
196,101,,"bushfire","PERTH",2002-11-09,,,
373,202,,"bushfire","Sydney East",2005-12-21,2005-12-25,,
198,103,,"bushfire","Newcastle",2003-03-21,2003-03-22,,
199,103,,"bushfire","Sydney West",2003-03-21,,,
343,104,,"bushfire","Sydney East",2003-01-14,2003-01-16,,
200,104,,"bushfire","Newcastle",2003-01-14,2003-01-16,,
344,104,,"bushfire","Sydney West",2003-01-14,2003-01-16,,
345,104,,"bushfire","Illawarra",2003-01-14,2003-01-16,,
202,105,,"bushfire","Sydney West",2003-01-17,,"30000",
203,105,,"bushfire","Illawarra",2003-01-17,,"30000",
201,105,,"bushfire","Sydney East",2003-01-17,,"30000",
204,106,,"bushfire","Sydney East",2004-01-10,,,
205,107,,"possible biomass","Illawarra",2004-03-08,,,
1121,661,,"bushfire","Sydney East",2006-09-13,2006-12-09,"76000","76000 ha Wollemi complex of fires start 13th. Burned until December 9th."
207,109,,"bushfire","Sydney East",2005-01-13,,,
208,109,,"bushfire","Sydney West",2005-01-13,,,
209,109,,"bushfire","Newcastle",2005-01-13,,,
210,109,,"bushfire","Illawarra",2005-01-13,,,
377,202,,"bushfire","Sydney West",2005-12-21,2005-12-25,,
1226,746,,"possible biomass","Tamworth",2005-05-19,2005-05-20,,
214,112,,"bushfire","Sydney West",2005-12-25,,,
215,112,,"bushfire","Newcastle",2005-12-25,,,
213,112,,"bushfire","Sydney East",2005-12-25,,,
216,113,,"bushfire","Sydney East",2006-01-01,,,
217,113,,"bushfire","Newcastle",2006-01-01,,,
346,113,,"bushfire","Illawarra",2006-01-01,,,
218,114,,"bushfire","Sydney East",2006-09-24,,,
219,114,,"bushfire","Sydney West",2006-09-24,,,
220,114,,"bushfire","Illawarra",2006-09-24,,,
221,115,,"bushfire","Sydney East",2006-11-21,,,
347,115,,"bushfire","Newcastle",2006-11-21,,,
222,115,,"bushfire","Sydney West",2006-11-21,,,
224,116,,"bushfire","Sydney West",2006-11-22,,,
348,116,,"bushfire","Illawarra",2006-11-22,,,
223,116,,"bushfire","Sydney East",2006-11-22,,,
225,117,,"bushfire","Sydney West",2006-12-01,,,
226,118,,"possible biomass","Illawarra",2007-01-30,,,
227,119,,"possible biomass","Illawarra",2007-05-04,,,
228,120,,"bushfire","Newcastle",2007-10-03,2007-10-04,,
1234,752,,"dust","Illawarra",2003-03-20,,,
378,203,,"bushfire","Sydney East",2005-12-21,2005-12-25,,
379,203,,"bushfire","Sydney West",2005-12-21,2005-12-25,,
234,124,,"bushfire","Sydney East",2001-01-13,2001-01-19,"18000",
328,124,,"bushfire","Illawarra",2001-01-13,2001-01-19,"18000",
327,124,,"bushfire","Sydney West",2001-01-13,2001-01-19,"18000",
329,124,,"bushfire","Newcastle",2001-01-13,2001-01-19,"18000",
1238,754,,"possible biomass","Sydney East",1998-01-03,,,
160,86,,"bushfire","Illawarra",2002-10-08,,,
237,126,,"prescribed burn","Sydney East",2003-09-04,2003-09-06,,
240,127,,"bushfire","Sydney West",2003-09-22,2003-09-27,,
239,127,,"bushfire","Sydney East",2003-09-22,2003-09-27,,
242,128,,"bushfire","Sydney West",2003-09-21,2003-09-26,,
241,128,,"bushfire","Sydney East",2003-09-21,2003-09-26,,
247,131,,"bushfire","Sydney East",2002-09-26,,,
248,131,,"bushfire","Sydney West",2002-09-26,,,
249,132,,"bushfire","Newcastle",2003-10-29,2003-10-30,"1000",
250,133,,"bushfire","Illawarra",2003-12-19,2003-12-23,,
251,134,,"bushfire","Sydney East",2005-10-04,,,
252,134,,"bushfire","Newcastle",2005-10-04,,,
380,205,,"bushfire","Sydney East",2005-12-21,2005-12-25,,
381,205,,"bushfire","Sydney West",2005-12-21,2005-12-25,,
256,137,,"bushfire","Newcastle",2004-10-13,2004-10-15,,
255,137,,"bushfire","Sydney East",2004-10-13,2004-10-15,,
257,138,,"bushfire","Sydney East",2004-12-01,,,
258,138,,"bushfire","Newcastle",2004-12-01,,,
382,206,,"bushfire","Sydney East",1996-01-01,1996-01-04,,
383,206,,"bushfire","Sydney West",1996-01-01,1996-01-04,,
263,143,,"bushfire","Sydney East",1994-01-01,1994-01-09,"200,000",
264,144,,"bushfire","Sydney East",1994-01-01,1994-01-09,,
349,144,,"bushfire","Sydney West",1994-01-01,1994-01-09,,
265,145,,"bushfire","Sydney East",1994-01-01,1994-01-09,,
266,146,,"bushfire","Sydney East",1994-01-01,1994-01-09,,
410,216,,"bushfire","Sydney East",2005-01-12,2005-01-13,"120",
411,216,,"bushfire","Sydney West",2005-01-12,2005-01-13,"120",
442,235,,"possible biomass","PERTH",2002-12-21,,,"unlikely but possible bushfire"
471,245,,"prescribed burn","Newcastle",2003-09-04,,,"shown in two separate photos"
273,153,,"bushfire","Sydney East",1997-12-01,,,
350,155,,"bushfire","Newcastle",1998-03-23,1998-03-30,,
275,155,,"bushfire","Sydney East",1998-03-23,1998-03-30,,
276,156,,"bushfire","Sydney East",2001-12-23,2001-12-28,,
278,157,,"bushfire","Sydney West",2001-12-21,2001-12-29,,
277,157,,"bushfire","Sydney East",2001-12-21,2001-12-29,,
279,157,,"bushfire","Illawarra",2001-12-21,2001-12-29,,
281,159,,"bushfire","Illawarra",2007-10-16,2007-10-23,,
282,160,,"possible biomass","Illawarra",2007-04-20,,,
285,161,,"bushfire","Sydney West",2001-12-21,2002-01-13,,
283,161,,"bushfire","Newcastle",2001-12-21,2002-01-13,"753,314",
284,161,,"bushfire","Sydney East",2001-12-21,2002-01-13,,
286,161,,"bushfire","Illawarra",2001-12-21,2002-01-13,,
289,163,,"bushfire","Newcastle",2001-12-21,2002-01-13,,
287,163,,"bushfire","Sydney East",2001-12-21,2002-01-13,,
288,163,,"bushfire","Sydney West",2001-12-21,2002-01-13,,
290,163,,"bushfire","Illawarra",2001-12-21,2002-01-13,,
291,164,,"bushfire","Newcastle",1994-01-11,,,
293,165,,"bushfire","Sydney East",1998-01-01,,,
292,165,,"bushfire","Illawarra",1998-01-01,,,
296,166,,"bushfire","Sydney West",2001-12-21,2002-01-13,,
295,166,,"bushfire","Sydney East",2001-12-21,2002-01-13,,
294,166,,"bushfire","Illawarra",2001-12-21,2002-01-13,,
472,245,,"prescribed burn","Sydney East",2003-09-04,,,
473,245,,"prescribed burn","Illawarra",2003-09-04,,,
628,408,,"bushfire","Sydney West",2002-10-04,2002-10-08,,
297,166,,"bushfire","Newcastle",2001-12-21,2002-01-13,,
299,167,,"bushfire","Sydney West",2002-10-09,,,
300,167,,"bushfire","Newcastle",2002-10-09,,,
298,167,,"bushfire","Sydney East",2002-10-09,,,
301,167,,"bushfire","Illawarra",2002-10-09,,,
303,168,,"bushfire","Sydney West",2002-12-04,,,
304,168,,"bushfire","Newcastle",2002-12-04,,,
302,168,,"bushfire","Sydney East",2002-12-04,,,
305,168,,"bushfire","Illawarra",2002-12-04,,,
306,169,,"bushfire","Newcastle",2006-01-01,,,
351,169,,"bushfire","Illawarra",2006-01-01,,,
353,169,,"bushfire","Sydney West",2006-01-01,,,
352,169,,"bushfire","Sydney East",2006-01-01,,,
307,170,,"bushfire","Sydney East",2002-12-04,2002-12-16,,
310,170,,"bushfire","Illawarra",2002-12-04,2002-12-16,,
308,170,,"bushfire","Sydney West",2002-12-04,2002-12-16,,
309,170,,"bushfire","Newcastle",2002-12-04,2002-12-16,,
314,171,,"bushfire","Illawarra",2001-12-27,,,
313,171,,"bushfire","Newcastle",2001-12-27,,,
312,171,,"bushfire","Sydney West",2001-12-27,,,
311,171,,"bushfire","Sydney East",2001-12-27,,,
315,172,,"bushfire","Sydney East",2001-12-24,2002-01-08,"500000",
318,172,,"bushfire","Illawarra",2001-12-24,2002-01-08,"500000",
316,172,,"bushfire","Sydney West",2001-12-24,2002-01-08,"500,000",
317,172,,"bushfire","Newcastle",2001-12-24,2002-01-08,"500,000",
319,173,,"bushfire","Newcastle",2002-09-15,2002-10-05,"3000",
321,174,,"bushfire","Sydney West",2002-12-04,,,
320,174,,"bushfire","Sydney East",2002-12-04,,,
325,175,,"dust","Illawarra",2002-10-23,,,
324,175,,"dust","Newcastle",2002-10-23,,,
323,175,,"dust","Sydney West",2002-10-23,,,
322,175,,"dust","Sydney East",2002-10-23,,,
384,207,,"bushfire","Sydney East",2002-11-04,2002-11-14,,
385,207,,"bushfire","Sydney West",2002-11-04,2002-11-14,,
1150,678,,"bushfire","hobart",2006-12-10,2006-12-12,,
1228,748,,"bushfire","Wagga Wagga",2006-12-10,,,
1239,756,,"bushfire","Sydney East",2001-01-15,,,
117,46,,"bushfire","Sydney East",1997-12-01,1997-12-08,"100000",
357,153,,"bushfire","Newcastle",1997-12-01,,,
16,2,48,"bushfire","PERTH",1998-01-10,,,"Wildfire"
15,2,47,"bushfire","PERTH",1997-12-30,,,"Wildfire in the Fitgerald River National Park"
14,2,46,"bushfire","PERTH",1997-12-29,,,"Wildfire in the Fitgerald River National Park"
13,2,45,"bushfire","PERTH",1997-12-25,,,"Large wildfires fires around Pemberton"
12,2,44,"woodsmoke","PERTH",1997-08-11,,,"Winter haze from wood heaters"
10,2,42,"woodsmoke","PERTH",1997-07-19,,,"Winter haze from wood heaters"
19,2,51,"bushfire","PERTH",1998-03-07,,,"Wildfire"
8,2,40,"woodsmoke","PERTH",1997-07-11,,,"Winter haze from wood heaters"
7,2,39,"woodsmoke","PERTH",1997-07-10,,,"Winter haze from wood heaters"
6,2,38,"woodsmoke","PERTH",1997-06-26,,,"Winter haze from wood heaters"
5,2,37,"woodsmoke","PERTH",1997-06-09,,,"Winter haze from wood heaters"
4,2,36,"woodsmoke","PERTH",1996-07-16,,,"Winter haze from wood heaters"
11,2,43,"woodsmoke","PERTH",1997-07-20,,,"Winter haze from wood heaters"
25,2,57,"bushfire","PERTH",2005-01-20,,,"Perth Hills wildfire"
33,2,65,"bushfire","PERTH",2003-11-08,,,"Wildfire"
32,2,64,"bushfire","PERTH",2003-10-29,,,"Wildfire"
31,2,63,"bushfire","PERTH",2003-03-08,,,"Wildfire"
30,2,62,"bushfire","PERTH",2002-12-23,,,"Multiple wildfires started by lightning storms in the Perth Hills area"
29,2,61,"bushfire","PERTH",2002-12-22,,,"Multiple wildfires started by lightning storms in the Perth Hills area"
28,2,60,"bushfire","PERTH",2002-12-20,,,"Multiple wildfires started by lightning storms in the Perth Hills area"
17,2,49,"bushfire","PERTH",1998-02-20,,,"Wildfire"
26,2,58,"possible biomass","PERTH",2006-06-07,,,"expert said woodsmoke, modis shows hotspot"
18,2,50,"bushfire","PERTH",1998-03-06,,,"Wildfire"
24,2,56,"bushfire","PERTH",2005-01-19,,,"Perth Hills wildfire"
23,2,55,"bushfire","PERTH",2004-12-20,,,"Wildfire"
22,2,54,"bushfire","PERTH",2001-01-30,,,"Wildfire"
21,2,53,"woodsmoke","PERTH",1998-07-16,,,"Winter haze from wood heaters"
20,2,52,"woodsmoke","PERTH",1998-07-07,,,"Winter haze from wood heaters"
27,2,59,"woodsmoke","PERTH",2007-06-22,,,"Winter haze from wood heaters"
1,3,3,"prescribed burn","PERTH",1995-11-15,1995-11-15,,
34,4,,"bushfire","PERTH",2008-05-01,,"40",
36,6,,"bushfire","PERTH",2007-11-23,,"12",
37,7,,"bushfire","PERTH",2007-11-24,,"15",
38,8,,"bushfire","PERTH",2007-02-04,,,
39,9,,"bushfire","PERTH",2007-02-06,,,
40,10,,"bushfire","PERTH",2007-02-04,,"3000",
42,11,,"bushfire","PERTH",2007-02-03,2007-02-05,"15000",
41,12,,"bushfire","PERTH",2007-02-03,2007-02-05,"15000",
43,13,,"bushfire","PERTH",2006-01-23,2006-01-25,"9000","deliberately lit"
44,14,,"bushfire","PERTH",2002-01-13,,"30",
45,15,,"possible biomass","PERTH",2001-10-31,,,
46,16,,"bushfire","PERTH",2002-01-14,,,
47,17,,"bushfire","PERTH",2002-01-17,,,
48,18,,"bushfire","PERTH",2002-11-08,,,
49,19,,"possible biomass","PERTH",2003-01-16,,,
50,20,,"bushfire","PERTH",2004-04-29,,,
51,21,,"possible biomass","PERTH",2004-12-14,,,
412,216,,"bushfire","Newcastle",2005-01-12,2005-01-13,"120",
53,23,,"bushfire","PERTH",2005-01-16,,,
54,24,,"bushfire","PERTH",2005-01-15,2005-01-19,,
55,26,,"bushfire","PERTH",2005-01-17,,,
57,27,,"bushfire","PERTH",2005-01-13,2005-01-22,"25000",
246,29,,"bushfire","PERTH",2005-01-18,,,
58,30,,"bushfire","PERTH",2005-01-18,,,
59,31,,"bushfire","PERTH",2005-01-13,2005-01-23,"27000","deliberately-lit"
60,32,,"bushfire","PERTH",2005-01-13,2005-01-30,"27000",
413,217,,"bushfire","Sydney East",2005-01-15,2005-01-16,"70",
416,217,,"bushfire","Sydney West",2005-01-15,2005-01-16,"70",
445,238,,"possible biomass","PERTH",2003-01-16,,,"possible bushfire"
61,33,,"bushfire","PERTH",2007-02-04,,,
62,34,,"bushfire","PERTH",2005-02-05,,,
197,102,,"bushfire","PERTH",2006-06-10,,,
206,108,,"bushfire","PERTH",2002-01-28,2002-01-30,,
211,110,,"bushfire","PERTH",2006-01-21,2006-01-24,,
212,111,,"bushfire","PERTH",2006-01-21,2006-01-24,"2000",
229,121,,"bushfire","PERTH",2005-01-19,,,
230,122,,"bushfire","PERTH",2007-02-04,2007-02-07,,
231,123,,"bushfire","PERTH",2004-03-15,,,
243,129,,"possible biomass","PERTH",2004-02-04,,,
244,130,,"bushfire","PERTH",2004-02-03,2004-02-04,"500",
253,135,,"possible biomass","PERTH",2003-11-08,,,
254,136,,"possible biomass","PERTH",2002-01-17,,,
260,140,,"possible biomass","PERTH",2003-11-08,,,
261,141,,"bushfire","PERTH",2004-05-29,,,
262,142,,"bushfire","PERTH",2005-04-20,,,
267,147,,"bushfire","PERTH",2005-01-20,,,
